video,frame,n_objects,mean_area,mean_confidence
45112025.MOV,469,3,260182.33333333334,0.675335685412089
45112025.MOV,470,4,208649.75,0.6717581078410149
45112025.MOV,471,4,206004.75,0.6924030880133311
45112025.MOV,472,4,204430.25,0.7078075309594473
45112025.MOV,473,4,202189.5,0.5939262881875038
45112025.MOV,474,4,203756.0,0.6815717592835426
45112025.MOV,475,4,203618.5,0.7583683331807455
45112025.MOV,476,4,203282.5,0.6980229119459788
45112025.MOV,477,4,201310.0,0.5506925210356712
45112025.MOV,478,4,200602.0,0.5658288896083832
45112025.MOV,479,4,200328.0,0.6357311109701792
45112025.MOV,480,4,195803.5,0.6654672423998514
45112025.MOV,481,4,196676.0,0.5665302947163582
45112025.MOV,482,4,196887.0,0.5897702425718307
45112025.MOV,483,4,197399.25,0.675295002758503
45112025.MOV,484,4,194899.0,0.650981068611145
45112025.MOV,485,4,195188.25,0.7685468991597494
45112025.MOV,486,4,195351.5,0.6281768903136253
45112025.MOV,487,4,196693.25,0.5433766543865204
45112025.MOV,488,4,198531.5,0.5696688741445541
45112025.MOV,489,4,198903.25,0.4693157474199931
45112025.MOV,490,5,160877.0,0.6926007767518362
45112025.MOV,491,5,160702.8,0.5900737941265106
45112025.MOV,492,5,162395.2,0.5566508919000626
45112025.MOV,493,5,162733.4,0.5934633687138557
45112025.MOV,494,5,164175.2,0.684859961271286
45112025.MOV,495,5,165063.6,0.6389200389385223
45112025.MOV,496,5,166241.2,0.6797340512275696
45112025.MOV,497,6,150012.16666666666,0.5865136012434959
45112025.MOV,498,6,149658.66666666666,0.6557032838463783
45112025.MOV,499,6,151411.83333333334,0.5070156082510948
45112025.MOV,500,6,152112.33333333334,0.6477342148621877
45112025.MOV,501,7,132598.57142857142,0.5064387694001198
45112025.MOV,502,7,132243.57142857142,0.5614685813585917
45112025.MOV,503,7,132584.0,0.6422195633252462
45112025.MOV,504,7,132846.14285714287,0.7164445221424103
45112025.MOV,505,7,133491.42857142858,0.7897667288780212
45112025.MOV,506,7,133951.7142857143,0.779899924993515
45112025.MOV,507,7,134244.2857142857,0.547814130783081
45112025.MOV,508,7,139935.42857142858,0.5714226737618446
45112025.MOV,509,7,141619.14285714287,0.4819558337330818
45112025.MOV,510,7,142586.7142857143,0.5804832875728607
45112025.MOV,511,7,149990.0,0.4663910965124766
45112025.MOV,512,7,151523.0,0.7575552463531494
45112025.MOV,513,7,152423.42857142858,0.5678588971495628
45112025.MOV,514,7,154357.2857142857,0.786083847284317
45112025.MOV,515,7,152641.14285714287,0.5791850462555885
45112025.MOV,516,7,152147.7142857143,0.641479084889094
45112025.MOV,517,7,151890.2857142857,0.6705276146531105
45112025.MOV,518,7,151278.57142857142,0.4869953989982605
45112025.MOV,519,7,165356.14285714287,0.6331817408402761
45112025.MOV,520,7,165993.7142857143,0.45119795203208923
45112025.MOV,521,8,160994.125,0.650230273604393
45112025.MOV,522,8,161411.75,0.6051674112677574
